Using MAX_WORKERS=12
[RESULT] ELL=5, min POP=9 (lower=5, upper=105), avg NFE=10
[RESULT] ELL=10, min POP=49 (lower=5, upper=105), avg NFE=433
[RESULT] ELL=15, min POP=106 (lower=105, upper=205), avg NFE=21290
[RESULT] ELL=20, min POP=207 (lower=205, upper=305), avg NFE=74328
[RESULT] ELL=25, min POP=231 (lower=205, upper=305), avg NFE=134602
[RESULT] ELL=30, min POP=255 (lower=205, upper=305), avg NFE=391186
[RESULT] ELL=35, min POP=410 (lower=405, upper=505), avg NFE=742803
[RESULT] ELL=40, min POP=459 (lower=405, upper=505), avg NFE=537051
[RESULT] ELL=45, min POP=552 (lower=505, upper=605), avg NFE=1069423
[RESULT] ELL=50, min POP=592 (lower=505, upper=605), avg NFE=984985
[RESULT] ELL=55, min POP=745 (lower=705, upper=805), avg NFE=1569708
[RESULT] ELL=60, min POP=799 (lower=705, upper=805), avg NFE=1860032
[RESULT] ELL=65, min POP=852 (lower=805, upper=905), avg NFE=2197087
[RESULT] ELL=70, min POP=955 (lower=905, upper=1005), avg NFE=3627977
[RESULT] ELL=75, min POP=1159 (lower=1105, upper=1205), avg NFE=2915980
[RESULT] ELL=80, min POP=1193 (lower=1105, upper=1205), avg NFE=6241091
[RESULT] ELL=85, min POP=1381 (lower=1305, upper=1405), avg NFE=3370876
[RESULT] ELL=90, min POP=1531 (lower=1505, upper=1605), avg NFE=5006938
[RESULT] ELL=95, min POP=1486 (lower=1405, upper=1505), avg NFE=6911508
[RESULT] ELL=100, min POP=1666 (lower=1605, upper=1705), avg NFE=9643183
[RESULT] ELL=105, min POP=1827 (lower=1805, upper=1905), avg NFE=10800096
[RESULT] ELL=110, min POP=1780 (lower=1705, upper=1805), avg NFE=11292159
[RESULT] ELL=115, min POP=1898 (lower=1805, upper=1905), avg NFE=14599148
[RESULT] ELL=120, min POP=2081 (lower=2005, upper=2105), avg NFE=15492379
[RESULT] ELL=125, min POP=2170 (lower=2105, upper=2205), avg NFE=12528183
[RESULT] ELL=130, min POP=2371 (lower=2305, upper=2405), avg NFE=14747029
[RESULT] ELL=135, min POP=2475 (lower=2405, upper=2505), avg NFE=17751207
[RESULT] ELL=140, min POP=2862 (lower=2805, upper=2905), avg NFE=21234860
[RESULT] ELL=145, min POP=2405 (lower=2305, upper=2405), avg NFE=31146180
[RESULT] ELL=150, min POP=2803 (lower=2705, upper=2805), avg NFE=30419860
[RESULT] ELL=155, min POP=2901 (lower=2805, upper=2905), avg NFE=36586700
[RESULT] ELL=160, min POP=2986 (lower=2905, upper=3005), avg NFE=29664220
[RESULT] ELL=170, min POP=3005 (lower=2905, upper=3005), avg NFE=42895090
[RESULT] ELL=165, min POP=3240 (lower=3205, upper=3305), avg NFE=45299440
[RESULT] ELL=175, min POP=3599 (lower=3505, upper=3605), avg NFE=40833730
[RESULT] ELL=180, min POP=3696 (lower=3605, upper=3705), avg NFE=24376780
[RESULT] ELL=185, min POP=3605 (lower=3505, upper=3605), avg NFE=37529980
[RESULT] ELL=190, min POP=3905 (lower=3805, upper=3905), avg NFE=42881090
[RESULT] ELL=195, min POP=4179 (lower=4105, upper=4205), avg NFE=77000800
[RESULT] ELL=200, min POP=4403 (lower=4305, upper=4405), avg NFE=43355640
[RESULT] ELL=205, min POP=4205 (lower=4105, upper=4205), avg NFE=50625550
[RESULT] ELL=210, min POP=4929 (lower=4905, upper=5005), avg NFE=51350560
[RESULT] ELL=215, min POP=4978 (lower=4905, upper=5005), avg NFE=53396740
[RESULT] ELL=220, min POP=5494 (lower=5405, upper=5505), avg NFE=38427340
[RESULT] ELL=230, min POP=5200 (lower=5105, upper=5205), avg NFE=49723910
[RESULT] ELL=225, min POP=5555 (lower=5505, upper=5605), avg NFE=76023680
[RESULT] ELL=235, min POP=5398 (lower=5305, upper=5405), avg NFE=80662590
[RESULT] ELL=240, min POP=6105 (lower=6005, upper=6105), avg NFE=82378100
[RESULT] ELL=245, min POP=5905 (lower=5805, upper=5905), avg NFE=82133650
[RESULT] ELL=250, min POP=5305 (lower=5205, upper=5305), avg NFE=94760010
