ell,min_pop,avg_nfe
5,9,10
10,49,433
15,106,21290
20,207,74328
25,231,134602
30,255,391186
35,410,742803
40,459,537051
45,552,1069423
50,592,984985
55,745,1569708
60,799,1860032
65,852,2197087
70,955,3627977
75,1159,2915980
80,1193,6241091
85,1381,3370876
90,1531,5006938
95,1486,6911508
100,1666,9643183
105,1827,10800096
110,1780,11292159
115,1898,14599148
120,2081,15492379
125,2170,12528183
130,2371,14747029
135,2475,17751207
140,2862,21234860
145,2405,31146180
150,2803,30419860
155,2901,36586700
160,2986,29664220
170,3005,42895090
165,3240,45299440
175,3599,40833730
180,3696,24376780
185,3605,37529980
190,3905,42881090
195,4179,77000800
200,4403,43355640
205,4205,50625550
210,4929,51350560
215,4978,53396740
220,5494,38427340
230,5200,49723910
225,5555,76023680
235,5398,80662590
240,6105,82378100
245,5905,82133650
250,5305,94760010
